som_x,som_y,multiplier,sigma,learning_rate,num_iterations,quantisation_error,topographic_error,combined_score
7,7,6,1.5,0.9,20000,7.542313716169607,0.16161616161616163,1.1028605637840654
7,7,7,0.5,0.1,5000,6.244314258460262,0.43434343434343436,1.1712980184354467
7,7,7,0.5,0.1,10000,5.940941201257002,0.8484848484848485,1.5524457148320914
7,7,7,0.5,0.1,20000,5.983614678192034,0.696969696969697,1.4016448077617811
7,7,7,0.5,0.5,5000,5.291966633161987,0.5858585858585859,1.1708791510750083
7,7,7,0.5,0.5,10000,5.336212919770143,0.8181818181818182,1.4203397001804288
7,7,7,0.5,0.5,20000,5.27633416542917,0.9494949494949495,1.5472278546350158
7,7,7,0.5,0.9,5000,5.552601149379633,0.7777777777777778,1.4142057563459338
7,7,7,0.5,0.9,10000,5.483944080582617,0.8484848484848485,1.4764767520686393
7,7,7,0.5,0.9,20000,5.486032138541916,0.8383838383838383,1.4662975448060722
7,7,7,1.0,0.1,5000,6.92594837048583,0.5858585858585859,1.4425042711101979
7,7,7,1.0,0.1,10000,6.832362676955948,0.696969696969697,1.5427365175268233
7,7,7,1.0,0.1,20000,6.7923689706159704,0.7575757575757576,1.5992460544288705
7,7,7,1.0,0.5,5000,6.0122772645961495,0.43434343434343436,1.1327253251970444
7,7,7,1.0,0.5,10000,5.794615621216882,0.40404040404040403,1.0649633724378889
7,7,7,1.0,0.5,20000,5.66071073844973,0.43434343434343436,1.0742826280214457
7,7,7,1.0,0.9,5000,5.915236751623265,0.43434343434343436,1.1165937856685142
7,7,7,1.0,0.9,10000,5.906929023381622,0.40404040404040403,1.083633802252192
7,7,7,1.0,0.9,20000,5.938743405358423,0.5454545454545454,1.236290890323494
7,7,7,1.5,0.1,5000,7.92832167374501,0.010101010101010102,1.0091338989686898
7,7,7,1.5,0.1,10000,7.7991863551148315,0.06060606060606061,1.040298655109854
7,7,7,1.5,0.1,20000,7.6839634572637,0.13131313131313133,1.0948287755109796
7,7,7,1.5,0.5,5000,7.601329342716257,0.2828282828282828,1.2389868219297804
7,7,7,1.5,0.5,10000,7.516764190935502,0.21212121212121213,1.1512449148095834
7,7,7,1.5,0.5,20000,7.512211760850273,0.3333333333333333,1.2768039306057493
7,7,7,1.5,0.9,5000,7.613736720827938,0.29292929292929293,1.251575679479621
7,7,7,1.5,0.9,10000,7.608132028181622,0.3838383838383838,1.345380824933666
7,7,7,1.5,0.9,20000,7.6144488586972665,0.3434343434343434,1.304325640738015
8,8,8,0.5,0.1,5000,5.62681222597488,0.898989898989899,1.552858031673578
8,8,8,0.5,0.1,10000,5.177938318360065,0.6767676767676768,1.2466604846895764
8,8,8,0.5,0.1,20000,4.89478394711237,0.6363636363636364,1.15748502587294
8,8,8,0.5,0.5,5000,3.7565773139659813,0.9090909090909091,1.2524856569425364
8,8,8,0.5,0.5,10000,3.7174850995864146,0.9595959595959596,1.2986187376626956
8,8,8,0.5,0.5,20000,3.711282752590518,0.9090909090909091,1.2449561109326148
8,8,8,0.5,0.9,5000,3.874540187970821,0.9393939393939394,1.3036741746503047
8,8,8,0.5,0.9,10000,3.9424977686061884,0.7777777777777778,1.1465500573367513
8,8,8,0.5,0.9,20000,3.894134832740004,0.898989898989899,1.2648262292554548
8,8,8,1.0,0.1,5000,6.017142175187565,0.7373737373737373,1.4493235177874515
8,8,8,1.0,0.1,10000,5.674541440053894,0.7474747474747475,1.4028975655808087
8,8,8,1.0,0.1,20000,5.196826586054491,0.6868686868686869,1.2603266935773403
8,8,8,1.0,0.5,5000,4.591033297666126,0.6060606060606061,1.0754120584478857
8,8,8,1.0,0.5,10000,4.311434966063407,0.5757575757575758,0.9973540540322221
8,8,8,1.0,0.5,20000,4.15479596105702,0.5858585858585859,0.9818414689177378
8,8,8,1.0,0.9,5000,4.4056876023477205,0.5656565656565656,1.0024958348068447
8,8,8,1.0,0.9,10000,4.505339673684919,0.5555555555555556,1.0085351912157972
8,8,8,1.0,0.9,20000,4.30562896770533,0.5555555555555556,0.9753362617266195
8,8,8,1.5,0.1,5000,7.398387332226215,0.020202020202020204,0.9315665256808521
8,8,8,1.5,0.1,10000,7.117947156617816,0.010101010101010102,0.8744212088203621
8,8,8,1.5,0.1,20000,6.822678953685429,0.030303030303030304,0.8463899007003013
8,8,8,1.5,0.5,5000,6.753140569877277,0.26262626262626265,1.0769354435642116
8,8,8,1.5,0.5,10000,6.644189691641604,0.3939393939393939,1.1956660885198798
8,8,8,1.5,0.5,20000,6.529744220908673,0.24242424242424243,1.0187464972285258
8,8,8,1.5,0.9,5000,6.652251074833547,0.2222222222222222,1.0180588049523747
8,8,8,1.5,0.9,10000,6.560831878747864,0.23232323232323232,1.0133880413969079
8,8,8,1.5,0.9,20000,6.5320677900354145,0.4444444444444444,1.2296590717677425
8,8,9,0.5,0.1,5000,5.208681560357188,0.6262626262626263,1.1991395116975818
8,8,9,0.5,0.1,10000,5.3847967374643035,0.8888888888888888,1.5021002465748292
8,8,9,0.5,0.1,20000,4.729776760741766,0.6565656565656566,1.1511076710690584
8,8,9,0.5,0.5,5000,3.751457761570027,0.6767676767676768,1.0095293444722087
8,8,9,0.5,0.5,10000,3.742076940264318,0.898989898989899,1.239548870058251
8,8,9,0.5,0.5,20000,3.741543100712577,0.898989898989899,1.2394601271861558
8,8,9,0.5,0.9,5000,3.8504989388751247,0.8484848484848485,1.204940833060225
8,8,9,0.5,0.9,10000,3.8832255320129176,0.9191919191919192,1.2840653521201937
8,8,9,0.5,0.9,20000,3.8516789219745022,0.8888888888888888,1.2472422508284722
8,8,9,1.0,0.1,5000,6.097175386277465,0.8383838383838383,1.567891004655106
8,8,9,1.0,0.1,10000,5.4850759011096955,0.8787878787878788,1.5082438477373157
8,8,9,1.0,0.1,20000,5.167827195208728,0.7777777777777778,1.3502428190004643
8,8,9,1.0,0.5,5000,4.552766576309412,0.8686868686868687,1.3427349966634752
8,8,9,1.0,0.5,10000,4.237922804566939,0.5555555555555556,0.9640811208217351
8,8,9,1.0,0.5,20000,4.180190835938785,0.5656565656565656,0.9650103569436151
8,8,9,1.0,0.9,5000,4.423450913003208,0.5555555555555556,0.9949224047680536
8,8,9,1.0,0.9,10000,4.284905638171661,0.5555555555555556,0.9718913169371319
8,8,9,1.0,0.9,20000,4.2809665384457,0.6060606060606061,1.0238680792415389
8,8,9,1.5,0.1,5000,7.367442139126065,0.030303030303030304,0.936948664152832
8,8,9,1.5,0.1,10000,7.0601201728989365,0.020202020202020204,0.8753346500989865
8,8,9,1.5,0.1,20000,6.886550061503706,0.0707070707070707,0.8991127839524905
8,8,9,1.5,0.5,5000,6.786295187852262,0.20202020202020202,1.019289010113299
8,8,9,1.5,0.5,10000,6.696878859835867,0.23232323232323232,1.0360038251136692
8,8,9,1.5,0.5,20000,6.568305627491324,0.29292929292929293,1.0777883355150797
8,8,9,1.5,0.9,5000,6.607799851551003,0.18181818181818182,0.968564188178076
8,8,9,1.5,0.9,10000,6.614140514595039,0.2222222222222222,1.0117234921009914
8,8,9,1.5,0.9,20000,6.482687928911186,0.20202020202020202,0.9688188265918533
9,9,10,0.5,0.1,5000,4.374601096411896,0.5151515151515151,0.9446965873883937
9,9,10,0.5,0.1,10000,3.9993884254383567,0.8888888888888888,1.2717967551367146
9,9,10,0.5,0.1,20000,3.940885954654708,0.6868686868686869,1.051545275175584
9,9,10,0.5,0.5,5000,1.9211211855996273,0.9393939393939394,0.9789473684210528
9,9,10,0.5,0.5,10000,1.9338802337455607,0.9090909090909091,0.9494894227168547
9,9,10,0.5,0.5,20000,1.9358061351479516,0.8686868686868687,0.9077043119741621
9,9,10,0.5,0.9,5000,1.9935484977844138,0.898989898989899,0.9488820668592035
9,9,10,0.5,0.9,10000,2.1111257470727702,0.8787878787878788,0.9473749012556985
9,9,10,0.5,0.9,20000,2.0325220406570117,0.9393939393939394,0.9974661008742953
9,9,10,1.0,0.1,5000,5.293708869206431,0.5656565656565656,1.1501161402818334
9,9,10,1.0,0.1,10000,4.309967079883629,0.7272727272727273,1.1550047766661677
9,9,10,1.0,0.1,20000,3.7144542912804415,0.7878787878787878,1.1191675425151204
9,9,10,1.0,0.5,5000,2.982747302709136,0.8484848484848485,1.0606900517018256
9,9,10,1.0,0.5,10000,2.7802578387530135,0.8686868686868687,1.048081826677183
9,9,10,1.0,0.5,20000,2.6310364183724597,0.8585858585858586,1.012749672917284
9,9,10,1.0,0.9,5000,2.6343171583061564,0.9393939393939394,1.0975055733691113
9,9,10,1.0,0.9,10000,2.4593907517777995,0.7272727272727273,0.8473740328371122
9,9,10,1.0,0.9,20000,2.4523124446696296,0.7272727272727273,0.846197369736182
9,9,10,1.5,0.1,5000,6.7043344470519575,0.020202020202020204,0.8161905738327049
9,9,10,1.5,0.1,10000,6.267759996825492,0.030303030303030304,0.7541428915545625
9,9,10,1.5,0.1,20000,5.892937907097114,0.3434343434343434,1.0181500928789942
9,9,10,1.5,0.5,5000,5.810521708002993,0.2222222222222222,0.878133838179518
9,9,10,1.5,0.5,10000,5.7824789618513535,0.1919191919191919,0.8418932020568328
9,9,10,1.5,0.5,20000,5.741425904341557,0.25252525252525254,0.898226637609588
9,9,10,1.5,0.9,5000,5.789017909822422,0.31313131313131315,0.969295994210519
9,9,10,1.5,0.9,10000,5.397354502812984,0.37373737373737376,0.9673456827096527
9,9,10,1.5,0.9,20000,5.4131962139326,0.26262626262626265,0.8541896574821404
